trial,strategy,offset,returncode,signal,crashed,hijacked,backtrace_path
0,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_0_offset26.txt
1,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_1_offset25.txt
2,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_2_offset25.txt
3,boundary,33,-11,11,True,False,backtraces/4a_trialboundary_3_offset33.txt
4,boundary,21,-7,7,False,False,
5,boundary,21,-7,7,False,False,
6,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_6_offset22.txt
7,boundary,20,-7,7,False,False,
8,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_8_offset24.txt
9,boundary,21,-7,7,False,False,
10,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_10_offset22.txt
11,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_11_offset26.txt
12,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_12_offset22.txt
13,boundary,24,-4,4,False,True,
14,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_14_offset25.txt
15,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_15_offset25.txt
16,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_16_offset24.txt
17,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_17_offset22.txt
18,boundary,31,-11,11,True,False,backtraces/4a_trialboundary_18_offset31.txt
19,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_19_offset25.txt
20,boundary,18,-11,11,True,False,backtraces/4a_trialboundary_20_offset18.txt
21,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_21_offset26.txt
22,boundary,18,-11,11,True,False,backtraces/4a_trialboundary_22_offset18.txt
23,boundary,29,-11,11,True,False,backtraces/4a_trialboundary_23_offset29.txt
24,boundary,24,-4,4,False,True,
25,boundary,21,-7,7,False,False,
26,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_26_offset26.txt
27,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_27_offset19.txt
28,boundary,31,-11,11,True,False,backtraces/4a_trialboundary_28_offset31.txt
29,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_29_offset25.txt
30,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_30_offset32.txt
31,boundary,16,-11,11,True,False,backtraces/4a_trialboundary_31_offset16.txt
32,boundary,14,-11,11,True,False,backtraces/4a_trialboundary_32_offset14.txt
33,boundary,18,-11,11,True,False,backtraces/4a_trialboundary_33_offset18.txt
34,boundary,21,-7,7,False,False,
35,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_35_offset19.txt
36,boundary,37,-11,11,True,False,backtraces/4a_trialboundary_36_offset37.txt
37,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_37_offset26.txt
38,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_38_offset28.txt
39,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_39_offset27.txt
40,boundary,20,-7,7,False,False,
41,boundary,13,-11,11,True,False,backtraces/4a_trialboundary_41_offset13.txt
42,boundary,20,-7,7,False,False,
43,boundary,34,-11,11,True,False,backtraces/4a_trialboundary_43_offset34.txt
44,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_44_offset22.txt
45,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_45_offset25.txt
46,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_46_offset27.txt
47,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_47_offset32.txt
48,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_48_offset28.txt
