trial,strategy,offset,returncode,signal,crashed,hijacked,backtrace_path
0,random,60,-11,11,True,False,backtraces/4a_trialrandom_0_offset60.txt
1,random,33,-11,11,True,False,backtraces/4a_trialrandom_1_offset33.txt
2,random,94,-11,11,True,False,backtraces/4a_trialrandom_2_offset94.txt
3,random,121,-11,11,True,False,backtraces/4a_trialrandom_3_offset121.txt
4,random,16,-11,11,True,False,backtraces/4a_trialrandom_4_offset16.txt
5,random,3,0,,False,False,
6,random,120,-11,11,True,False,backtraces/4a_trialrandom_6_offset120.txt
7,random,66,-11,11,True,False,backtraces/4a_trialrandom_7_offset66.txt
8,random,59,-11,11,True,False,backtraces/4a_trialrandom_8_offset59.txt
9,random,49,-11,11,True,False,backtraces/4a_trialrandom_9_offset49.txt
10,random,120,-11,11,True,False,backtraces/4a_trialrandom_10_offset120.txt
11,random,121,-11,11,True,False,backtraces/4a_trialrandom_11_offset121.txt
12,random,101,-11,11,True,False,backtraces/4a_trialrandom_12_offset101.txt
13,random,38,-11,11,True,False,backtraces/4a_trialrandom_13_offset38.txt
14,random,59,-11,11,True,False,backtraces/4a_trialrandom_14_offset59.txt
15,random,38,-11,11,True,False,backtraces/4a_trialrandom_15_offset38.txt
16,random,99,-11,11,True,False,backtraces/4a_trialrandom_16_offset99.txt
17,random,3,0,,False,False,
18,random,16,-11,11,True,False,backtraces/4a_trialrandom_18_offset16.txt
19,random,40,-11,11,True,False,backtraces/4a_trialrandom_19_offset40.txt
20,random,10,0,,False,False,
21,random,77,-11,11,True,False,backtraces/4a_trialrandom_21_offset77.txt
22,random,7,0,,False,False,
23,random,68,-11,11,True,False,backtraces/4a_trialrandom_23_offset68.txt
24,random,121,-11,11,True,False,backtraces/4a_trialrandom_24_offset121.txt
25,random,99,-11,11,True,False,backtraces/4a_trialrandom_25_offset99.txt
26,random,109,-11,11,True,False,backtraces/4a_trialrandom_26_offset109.txt
27,random,101,-11,11,True,False,backtraces/4a_trialrandom_27_offset101.txt
28,random,113,-11,11,True,False,backtraces/4a_trialrandom_28_offset113.txt
29,random,34,-11,11,True,False,backtraces/4a_trialrandom_29_offset34.txt
30,random,93,-11,11,True,False,backtraces/4a_trialrandom_30_offset93.txt
31,random,24,-11,11,True,True,backtraces/4a_trialrandom_31_offset24.txt
32,random,9,0,,False,False,
33,random,34,-11,11,True,False,backtraces/4a_trialrandom_33_offset34.txt
34,random,126,-11,11,True,False,backtraces/4a_trialrandom_34_offset126.txt
35,random,55,-11,11,True,False,backtraces/4a_trialrandom_35_offset55.txt
36,random,66,-11,11,True,False,backtraces/4a_trialrandom_36_offset66.txt
37,random,111,-11,11,True,False,backtraces/4a_trialrandom_37_offset111.txt
38,random,77,-11,11,True,False,backtraces/4a_trialrandom_38_offset77.txt
39,random,107,-11,11,True,False,backtraces/4a_trialrandom_39_offset107.txt
40,random,98,-11,11,True,False,backtraces/4a_trialrandom_40_offset98.txt
41,random,89,-11,11,True,False,backtraces/4a_trialrandom_41_offset89.txt
42,random,104,-11,11,True,False,backtraces/4a_trialrandom_42_offset104.txt
43,random,59,-11,11,True,False,backtraces/4a_trialrandom_43_offset59.txt
44,random,86,-11,11,True,False,backtraces/4a_trialrandom_44_offset86.txt
45,random,7,0,,False,False,
46,random,71,-11,11,True,False,backtraces/4a_trialrandom_46_offset71.txt
47,random,41,-11,11,True,False,backtraces/4a_trialrandom_47_offset41.txt
48,random,83,-11,11,True,False,backtraces/4a_trialrandom_48_offset83.txt
49,random,26,-11,11,True,False,backtraces/4a_trialrandom_49_offset26.txt
50,random,54,-11,11,True,False,backtraces/4a_trialrandom_50_offset54.txt
51,random,68,-11,11,True,False,backtraces/4a_trialrandom_51_offset68.txt
52,random,72,-11,11,True,False,backtraces/4a_trialrandom_52_offset72.txt
53,random,31,-11,11,True,False,backtraces/4a_trialrandom_53_offset31.txt
54,random,16,-11,11,True,False,backtraces/4a_trialrandom_54_offset16.txt
55,random,123,-11,11,True,False,backtraces/4a_trialrandom_55_offset123.txt
56,random,123,-11,11,True,False,backtraces/4a_trialrandom_56_offset123.txt
57,random,22,-11,11,True,False,backtraces/4a_trialrandom_57_offset22.txt
58,random,88,-11,11,True,False,backtraces/4a_trialrandom_58_offset88.txt
59,random,17,-11,11,True,False,backtraces/4a_trialrandom_59_offset17.txt
60,random,105,-11,11,True,False,backtraces/4a_trialrandom_60_offset105.txt
61,random,38,-11,11,True,False,backtraces/4a_trialrandom_61_offset38.txt
62,random,5,0,,False,False,
63,random,75,-11,11,True,False,backtraces/4a_trialrandom_63_offset75.txt
64,random,109,-11,11,True,False,backtraces/4a_trialrandom_64_offset109.txt
65,random,106,-11,11,True,False,backtraces/4a_trialrandom_65_offset106.txt
66,random,30,-11,11,True,False,backtraces/4a_trialrandom_66_offset30.txt
67,random,11,0,,False,False,
68,random,11,0,,False,False,
69,random,96,-11,11,True,False,backtraces/4a_trialrandom_69_offset96.txt
70,random,84,-11,11,True,False,backtraces/4a_trialrandom_70_offset84.txt
71,random,71,-11,11,True,False,backtraces/4a_trialrandom_71_offset71.txt
72,random,60,-11,11,True,False,backtraces/4a_trialrandom_72_offset60.txt
73,random,9,0,,False,False,
74,random,79,-11,11,True,False,backtraces/4a_trialrandom_74_offset79.txt
75,random,1,0,,False,False,
76,random,19,-11,11,True,False,backtraces/4a_trialrandom_76_offset19.txt
77,random,27,-11,11,True,False,backtraces/4a_trialrandom_77_offset27.txt
78,random,8,0,,False,False,
79,random,50,-11,11,True,False,backtraces/4a_trialrandom_79_offset50.txt
80,random,104,-11,11,True,False,backtraces/4a_trialrandom_80_offset104.txt
81,random,74,-11,11,True,False,backtraces/4a_trialrandom_81_offset74.txt
82,random,67,-11,11,True,False,backtraces/4a_trialrandom_82_offset67.txt
83,random,39,-11,11,True,False,backtraces/4a_trialrandom_83_offset39.txt
84,random,10,0,,False,False,
85,random,86,-11,11,True,False,backtraces/4a_trialrandom_85_offset86.txt
86,random,80,-11,11,True,False,backtraces/4a_trialrandom_86_offset80.txt
87,random,92,-11,11,True,False,backtraces/4a_trialrandom_87_offset92.txt
88,random,35,-11,11,True,False,backtraces/4a_trialrandom_88_offset35.txt
89,random,96,-11,11,True,False,backtraces/4a_trialrandom_89_offset96.txt
90,random,96,-11,11,True,False,backtraces/4a_trialrandom_90_offset96.txt
91,random,117,-11,11,True,False,backtraces/4a_trialrandom_91_offset117.txt
92,random,98,-11,11,True,False,backtraces/4a_trialrandom_92_offset98.txt
93,random,26,-11,11,True,False,backtraces/4a_trialrandom_93_offset26.txt
94,random,69,-11,11,True,False,backtraces/4a_trialrandom_94_offset69.txt
95,random,110,-11,11,True,False,backtraces/4a_trialrandom_95_offset110.txt
96,random,60,-11,11,True,False,backtraces/4a_trialrandom_96_offset60.txt
97,random,77,-11,11,True,False,backtraces/4a_trialrandom_97_offset77.txt
98,random,111,-11,11,True,False,backtraces/4a_trialrandom_98_offset111.txt
99,random,66,-11,11,True,False,backtraces/4a_trialrandom_99_offset66.txt
100,random,77,-11,11,True,False,backtraces/4a_trialrandom_100_offset77.txt
101,random,86,-11,11,True,False,backtraces/4a_trialrandom_101_offset86.txt
102,random,2,0,,False,False,
103,random,106,-11,11,True,False,backtraces/4a_trialrandom_103_offset106.txt
104,random,80,-11,11,True,False,backtraces/4a_trialrandom_104_offset80.txt
105,random,5,0,,False,False,
106,random,96,-11,11,True,False,backtraces/4a_trialrandom_106_offset96.txt
107,random,34,-11,11,True,False,backtraces/4a_trialrandom_107_offset34.txt
108,random,15,-11,11,True,False,backtraces/4a_trialrandom_108_offset15.txt
109,random,85,-11,11,True,False,backtraces/4a_trialrandom_109_offset85.txt
110,random,119,-11,11,True,False,backtraces/4a_trialrandom_110_offset119.txt
111,random,90,-11,11,True,False,backtraces/4a_trialrandom_111_offset90.txt
112,random,90,-11,11,True,False,backtraces/4a_trialrandom_112_offset90.txt
113,random,71,-11,11,True,False,backtraces/4a_trialrandom_113_offset71.txt
114,random,125,-11,11,True,False,backtraces/4a_trialrandom_114_offset125.txt
115,random,5,0,,False,False,
116,random,15,-11,11,True,False,backtraces/4a_trialrandom_116_offset15.txt
117,random,5,0,,False,False,
118,random,94,-11,11,True,False,backtraces/4a_trialrandom_118_offset94.txt
