trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
0,boundary,250,0,,False,
1,boundary,254,0,,False,
2,boundary,278,-11,11,True,backtraces/4b_trialboundary_2_len278.txt
3,boundary,240,0,,False,
4,boundary,248,0,,False,
5,boundary,258,0,,False,
6,boundary,259,0,,False,
7,boundary,235,0,,False,
8,boundary,244,0,,False,
9,boundary,278,-11,11,True,backtraces/4b_trialboundary_9_len278.txt
10,boundary,280,-11,11,True,backtraces/4b_trialboundary_10_len280.txt
11,boundary,260,0,,False,
12,boundary,265,-11,11,True,backtraces/4b_trialboundary_12_len265.txt
13,boundary,275,-11,11,True,backtraces/4b_trialboundary_13_len275.txt
14,boundary,259,0,,False,
15,boundary,242,0,,False,
16,boundary,292,-11,11,True,backtraces/4b_trialboundary_16_len292.txt
17,boundary,256,0,,False,
18,boundary,264,-7,7,False,
19,boundary,274,-11,11,True,backtraces/4b_trialboundary_19_len274.txt
20,boundary,263,0,,False,
21,boundary,274,-11,11,True,backtraces/4b_trialboundary_21_len274.txt
22,boundary,256,0,,False,
23,boundary,236,0,,False,
24,boundary,273,-11,11,True,backtraces/4b_trialboundary_24_len273.txt
25,boundary,257,0,,False,
26,boundary,273,-11,11,True,backtraces/4b_trialboundary_26_len273.txt
27,boundary,254,0,,False,
28,boundary,243,0,,False,
29,boundary,275,-11,11,True,backtraces/4b_trialboundary_29_len275.txt
30,boundary,270,-11,11,True,backtraces/4b_trialboundary_30_len270.txt
31,boundary,267,-11,11,True,backtraces/4b_trialboundary_31_len267.txt
32,boundary,270,-11,11,True,backtraces/4b_trialboundary_32_len270.txt
33,boundary,253,0,,False,
34,boundary,252,0,,False,
35,boundary,279,-11,11,True,backtraces/4b_trialboundary_35_len279.txt
36,boundary,263,0,,False,
37,boundary,262,0,,False,
38,boundary,256,0,,False,
39,boundary,278,-11,11,True,backtraces/4b_trialboundary_39_len278.txt
40,boundary,254,0,,False,
41,boundary,265,-11,11,True,backtraces/4b_trialboundary_41_len265.txt
42,boundary,232,0,,False,
43,boundary,245,0,,False,
44,boundary,249,0,,False,
45,boundary,276,-11,11,True,backtraces/4b_trialboundary_45_len276.txt
46,boundary,273,-11,11,True,backtraces/4b_trialboundary_46_len273.txt
47,boundary,272,-11,11,True,backtraces/4b_trialboundary_47_len272.txt
48,boundary,260,0,,False,
49,boundary,258,0,,False,
50,boundary,289,-11,11,True,backtraces/4b_trialboundary_50_len289.txt
51,boundary,243,0,,False,
52,boundary,293,-11,11,True,backtraces/4b_trialboundary_52_len293.txt
53,boundary,284,-11,11,True,backtraces/4b_trialboundary_53_len284.txt
54,boundary,246,0,,False,
55,boundary,282,-11,11,True,backtraces/4b_trialboundary_55_len282.txt
56,boundary,265,-11,11,True,backtraces/4b_trialboundary_56_len265.txt
57,boundary,251,0,,False,
58,boundary,254,0,,False,
59,boundary,244,0,,False,
60,boundary,268,-11,11,True,backtraces/4b_trialboundary_60_len268.txt
61,boundary,253,0,,False,
62,boundary,265,-11,11,True,backtraces/4b_trialboundary_62_len265.txt
63,boundary,226,0,,False,
64,boundary,255,0,,False,
65,boundary,248,0,,False,
66,boundary,277,-11,11,True,backtraces/4b_trialboundary_66_len277.txt
67,boundary,275,-11,11,True,backtraces/4b_trialboundary_67_len275.txt
68,boundary,250,0,,False,
69,boundary,283,-11,11,True,backtraces/4b_trialboundary_69_len283.txt
70,boundary,256,0,,False,
71,boundary,247,0,,False,
72,boundary,273,-11,11,True,backtraces/4b_trialboundary_72_len273.txt
73,boundary,284,-11,11,True,backtraces/4b_trialboundary_73_len284.txt
74,boundary,258,0,,False,
75,boundary,257,0,,False,
76,boundary,281,-11,11,True,backtraces/4b_trialboundary_76_len281.txt
77,boundary,250,0,,False,
78,boundary,289,-11,11,True,backtraces/4b_trialboundary_78_len289.txt
79,boundary,288,-11,11,True,backtraces/4b_trialboundary_79_len288.txt
80,boundary,272,-11,11,True,backtraces/4b_trialboundary_80_len272.txt
81,boundary,274,-11,11,True,backtraces/4b_trialboundary_81_len274.txt
82,boundary,260,0,,False,
83,boundary,244,0,,False,
84,boundary,244,0,,False,
85,boundary,257,0,,False,
86,boundary,251,0,,False,
87,boundary,267,-11,11,True,backtraces/4b_trialboundary_87_len267.txt
88,boundary,267,-11,11,True,backtraces/4b_trialboundary_88_len267.txt
89,boundary,269,-11,11,True,backtraces/4b_trialboundary_89_len269.txt
90,boundary,259,0,,False,
91,boundary,239,0,,False,
92,boundary,240,0,,False,
93,boundary,257,0,,False,
94,boundary,257,0,,False,
95,boundary,273,-11,11,True,backtraces/4b_trialboundary_95_len273.txt
96,boundary,241,0,,False,
97,boundary,284,-11,11,True,backtraces/4b_trialboundary_97_len284.txt
98,boundary,281,-11,11,True,backtraces/4b_trialboundary_98_len281.txt
99,boundary,269,-11,11,True,backtraces/4b_trialboundary_99_len269.txt
100,boundary,264,-7,7,False,
101,boundary,290,-11,11,True,backtraces/4b_trialboundary_101_len290.txt
102,boundary,256,0,,False,
103,boundary,275,-11,11,True,backtraces/4b_trialboundary_103_len275.txt
104,boundary,249,0,,False,
105,boundary,275,-11,11,True,backtraces/4b_trialboundary_105_len275.txt
106,boundary,266,-11,11,True,backtraces/4b_trialboundary_106_len266.txt
107,boundary,250,0,,False,
108,boundary,268,-11,11,True,backtraces/4b_trialboundary_108_len268.txt
109,boundary,258,0,,False,
110,boundary,263,0,,False,
111,boundary,271,-11,11,True,backtraces/4b_trialboundary_111_len271.txt
