trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
0,random,450,-11,11,True,backtraces/4b_trialrandom_0_len450.txt
1,random,192,0,,False,
2,random,91,0,,False,
3,random,419,-11,11,True,backtraces/4b_trialrandom_3_len419.txt
4,random,12,0,,False,
5,random,174,0,,False,
6,random,430,-11,11,True,backtraces/4b_trialrandom_6_len430.txt
7,random,436,-11,11,True,backtraces/4b_trialrandom_7_len436.txt
8,random,62,0,,False,
9,random,13,0,,False,
10,random,432,-11,11,True,backtraces/4b_trialrandom_10_len432.txt
11,random,58,0,,False,
12,random,344,-11,11,True,backtraces/4b_trialrandom_12_len344.txt
13,random,246,0,,False,
14,random,428,-11,11,True,backtraces/4b_trialrandom_14_len428.txt
15,random,356,-11,11,True,backtraces/4b_trialrandom_15_len356.txt
16,random,487,-11,11,True,backtraces/4b_trialrandom_16_len487.txt
17,random,145,0,,False,
18,random,296,-11,11,True,backtraces/4b_trialrandom_18_len296.txt
19,random,153,0,,False,
20,random,408,-11,11,True,backtraces/4b_trialrandom_20_len408.txt
21,random,45,0,,False,
22,random,18,0,,False,
23,random,392,-11,11,True,backtraces/4b_trialrandom_23_len392.txt
24,random,288,-11,11,True,backtraces/4b_trialrandom_24_len288.txt
25,random,261,0,,False,
26,random,270,-11,11,True,backtraces/4b_trialrandom_26_len270.txt
27,random,366,-11,11,True,backtraces/4b_trialrandom_27_len366.txt
28,random,122,0,,False,
29,random,54,0,,False,
30,random,283,-11,11,True,backtraces/4b_trialrandom_30_len283.txt
31,random,383,-11,11,True,backtraces/4b_trialrandom_31_len383.txt
32,random,51,0,,False,
33,random,478,-11,11,True,backtraces/4b_trialrandom_33_len478.txt
34,random,283,-11,11,True,backtraces/4b_trialrandom_34_len283.txt
35,random,31,0,,False,
36,random,281,-11,11,True,backtraces/4b_trialrandom_36_len281.txt
37,random,166,0,,False,
38,random,445,-11,11,True,backtraces/4b_trialrandom_38_len445.txt
39,random,288,-11,11,True,backtraces/4b_trialrandom_39_len288.txt
40,random,92,0,,False,
41,random,423,-11,11,True,backtraces/4b_trialrandom_41_len423.txt
42,random,39,0,,False,
43,random,123,0,,False,
44,random,92,0,,False,
45,random,330,-11,11,True,backtraces/4b_trialrandom_45_len330.txt
46,random,127,0,,False,
47,random,232,0,,False,
48,random,315,-11,11,True,backtraces/4b_trialrandom_48_len315.txt
49,random,358,-11,11,True,backtraces/4b_trialrandom_49_len358.txt
50,random,385,-11,11,True,backtraces/4b_trialrandom_50_len385.txt
51,random,482,-11,11,True,backtraces/4b_trialrandom_51_len482.txt
52,random,201,0,,False,
53,random,129,0,,False,
54,random,188,0,,False,
55,random,306,-11,11,True,backtraces/4b_trialrandom_55_len306.txt
56,random,203,0,,False,
57,random,480,-11,11,True,backtraces/4b_trialrandom_57_len480.txt
58,random,179,0,,False,
59,random,284,-11,11,True,backtraces/4b_trialrandom_59_len284.txt
60,random,214,0,,False,
61,random,494,-11,11,True,backtraces/4b_trialrandom_61_len494.txt
62,random,42,0,,False,
63,random,192,0,,False,
64,random,256,0,,False,
65,random,120,0,,False,
66,random,498,-11,11,True,backtraces/4b_trialrandom_66_len498.txt
67,random,475,-11,11,True,backtraces/4b_trialrandom_67_len475.txt
68,random,211,0,,False,
69,random,431,-11,11,True,backtraces/4b_trialrandom_69_len431.txt
70,random,382,-11,11,True,backtraces/4b_trialrandom_70_len382.txt
71,random,495,-11,11,True,backtraces/4b_trialrandom_71_len495.txt
72,random,82,0,,False,
73,random,212,0,,False,
74,random,353,-11,11,True,backtraces/4b_trialrandom_74_len353.txt
75,random,291,-11,11,True,backtraces/4b_trialrandom_75_len291.txt
76,random,387,-11,11,True,backtraces/4b_trialrandom_76_len387.txt
77,random,296,-11,11,True,backtraces/4b_trialrandom_77_len296.txt
78,random,345,-11,11,True,backtraces/4b_trialrandom_78_len345.txt
79,random,473,-11,11,True,backtraces/4b_trialrandom_79_len473.txt
80,random,264,-7,7,False,
81,random,351,-11,11,True,backtraces/4b_trialrandom_81_len351.txt
82,random,247,0,,False,
83,random,79,0,,False,
84,random,329,-11,11,True,backtraces/4b_trialrandom_84_len329.txt
85,random,205,0,,False,
86,random,459,-11,11,True,backtraces/4b_trialrandom_86_len459.txt
87,random,454,-11,11,True,backtraces/4b_trialrandom_87_len454.txt
88,random,76,0,,False,
89,random,83,0,,False,
90,random,49,0,,False,
91,random,254,0,,False,
92,random,383,-11,11,True,backtraces/4b_trialrandom_92_len383.txt
93,random,247,0,,False,
94,random,469,-11,11,True,backtraces/4b_trialrandom_94_len469.txt
95,random,357,-11,11,True,backtraces/4b_trialrandom_95_len357.txt
96,random,264,-7,7,False,
97,random,486,-11,11,True,backtraces/4b_trialrandom_97_len486.txt
98,random,226,0,,False,
99,random,300,-11,11,True,backtraces/4b_trialrandom_99_len300.txt
100,random,368,-11,11,True,backtraces/4b_trialrandom_100_len368.txt
101,random,439,-11,11,True,backtraces/4b_trialrandom_101_len439.txt
102,random,95,0,,False,
103,random,69,0,,False,
104,random,136,0,,False,
105,random,385,-11,11,True,backtraces/4b_trialrandom_105_len385.txt
106,random,101,0,,False,
107,random,75,0,,False,
108,random,299,-11,11,True,backtraces/4b_trialrandom_108_len299.txt
109,random,263,0,,False,
110,random,161,0,,False,
111,random,478,-11,11,True,backtraces/4b_trialrandom_111_len478.txt
112,random,118,0,,False,
113,random,435,-11,11,True,backtraces/4b_trialrandom_113_len435.txt
114,random,353,-11,11,True,backtraces/4b_trialrandom_114_len353.txt
115,random,275,-11,11,True,backtraces/4b_trialrandom_115_len275.txt
116,random,488,-11,11,True,backtraces/4b_trialrandom_116_len488.txt
117,random,399,-11,11,True,backtraces/4b_trialrandom_117_len399.txt
118,random,151,0,,False,
119,random,343,-11,11,True,backtraces/4b_trialrandom_119_len343.txt
120,random,361,-11,11,True,backtraces/4b_trialrandom_120_len361.txt
121,random,437,-11,11,True,backtraces/4b_trialrandom_121_len437.txt
122,random,211,0,,False,
123,random,304,-11,11,True,backtraces/4b_trialrandom_123_len304.txt
124,random,437,-11,11,True,backtraces/4b_trialrandom_124_len437.txt
125,random,299,-11,11,True,backtraces/4b_trialrandom_125_len299.txt
126,random,299,-11,11,True,backtraces/4b_trialrandom_126_len299.txt
127,random,136,0,,False,
128,random,455,-11,11,True,backtraces/4b_trialrandom_128_len455.txt
129,random,111,0,,False,
130,random,157,0,,False,
131,random,11,0,,False,
132,random,137,0,,False,
133,random,245,0,,False,
134,random,411,-11,11,True,backtraces/4b_trialrandom_134_len411.txt
135,random,195,0,,False,
136,random,102,0,,False,
137,random,88,0,,False,
138,random,291,-11,11,True,backtraces/4b_trialrandom_138_len291.txt
139,random,184,0,,False,
140,random,122,0,,False,
141,random,164,0,,False,
142,random,247,0,,False,
143,random,396,-11,11,True,backtraces/4b_trialrandom_143_len396.txt
144,random,442,-11,11,True,backtraces/4b_trialrandom_144_len442.txt
145,random,73,0,,False,
146,random,214,0,,False,
147,random,357,-11,11,True,backtraces/4b_trialrandom_147_len357.txt
148,random,245,0,,False,
149,random,359,-11,11,True,backtraces/4b_trialrandom_149_len359.txt
